id,tag_id,taggable_type,taggable_id,created_at,updated_at
1,1,Entry,1,2017-07-25 03:48:42 UTC,2017-07-25 03:48:42 UTC
3,3,Entry,1,2017-07-25 03:49:33 UTC,2017-07-25 03:49:33 UTC
4,1,Entry,2,2017-07-25 03:56:10 UTC,2017-07-25 03:56:10 UTC
5,3,Entry,2,2017-07-25 03:56:10 UTC,2017-07-25 03:56:10 UTC
6,4,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
7,5,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
8,6,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
9,7,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
10,8,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
11,9,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
12,10,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
13,11,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
14,12,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
15,13,Entry,3,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
16,4,Entry,4,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
17,14,Entry,4,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
18,15,Entry,4,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
19,16,Entry,4,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
20,17,Entry,4,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
21,18,Entry,4,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
22,19,Entry,4,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
23,20,Entry,4,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
24,4,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
25,21,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
26,22,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
27,23,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
28,14,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
29,24,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
30,15,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
31,25,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
32,26,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
33,27,Entry,5,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
34,4,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
35,14,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
36,22,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
37,28,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
38,29,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
39,30,Entry,6,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
